CandidateID,Firstme,Lastme,Gender,RequisitionID,ApplicationDate,Source,CurrentStage,JobID,DepartmentID,JobTitle,JobLevel,Recruiter,InterviewScore,OfferAccepted,DaysToFill
500094,Ethan,Fairanbry,Male,702011,2025-04-20,Referral,Rejected,35,10,Customer Support Representative,1,T. Nguyen,2.2,,
500095,Gian,Goldanmere,Female,701354,2025-12-16,Campus,Applied,39,11,Corporate Counsel,4,T. Nguyen,,,
500096,Elijah,Yorkinfield,Male,701332,2025-01-23,Interl,Fil Interview,18,5,Fince Mager,4,J. Watson,2.8,,
500097,Jackson,Thornelcrest,Non-Biry,701521,2025-06-22,Indeed,Phone Screen,27,7,Marketing Director,5,S. Lee,,,
500098,Sage,Wrenenway,Male,701949,2024-05-22,Indeed,Applied,3,1,Vice President,8,D. Patel,,,
500099,Kaitlyn,Blandcrest,Female,700263,2025-02-12,Agency,Interview,12,3,Director of Product,6,M. Davis,2.6,,
500100,Simon,Grayocroft,Male,700769,2024-09-15,Career Site,Withdrawn,18,5,Fince Mager,4,M. Davis,,,
500101,Vincent,Barson,Male,702001,2024-03-15,Agency,Applied,13,4,IT Support Specialist,1,T. Nguyen,,,
500102,Kennedy,Marecroft,Female,701797,2024-06-30,Indeed,Rejected,33,9,Operations Mager,4,R. Thomas,4.1,,
500103,Peyton,Hallelcrest,Male,700368,2026-01-22,Referral,Fil Interview,30,8,Sales Mager,4,T. Nguyen,3.6,,
500104,Bailey,Thornlinwin,Male,701318,2026-01-12,Career Site,Fil Interview,12,3,Director of Product,6,M. Davis,3.2,,
500105,Gian,Caldustone,Female,700757,2024-08-19,Interl,Rejected,36,10,Customer Support Mager,3,M. Davis,4.4,,
500106,Nicole,Presalin,Female,701986,2025-02-07,LinkedIn,Fil Interview,24,6,Director of HR,6,M. Davis,3.8,,
500107,Alex,Wardleyton,Non-Biry,702791,2024-11-19,Career Site,Hired,38,11,Legal Alyst,2,D. Patel,2,Yes,68
500108,Blair,Pinetonshire,Male,700649,2024-09-18,Career Site,Withdrawn,24,6,Director of HR,6,M. Davis,,,
500109,Alexis,Clarkwellin,Female,702694,2024-04-05,Networking Event,Applied,4,2,Software Engineer I,1,D. Patel,,,
500110,Theodore,Foxsonbrook,Male,702451,2024-01-09,Campus,Interview,11,3,Senior Product Mager,4,D. Patel,4.5,,
500111,Nicole,Norettman,Female,701908,2025-08-11,Interl,Hired,34,9,Director of Operations,6,D. Patel,4.3,Yes,26
500112,Anthony,Preselson,Male,702625,2025-01-25,Indeed,Phone Screen,18,5,Fince Mager,4,D. Patel,,,
500113,An,Grayelson,Female,700017,2025-08-17,Referral,Applied,4,2,Software Engineer I,1,R. Thomas,,,
500114,Kai,Valeingmere,Male,700627,2024-01-11,Indeed,Rejected,21,6,HR Generalist,2,T. Nguyen,3.4,,
500115,Violet,Fordoman,Non-Biry,701407,2025-10-28,LinkedIn,Applied,28,8,Sales Development Representative,1,J. Watson,,,
500116,Amy,Marelthorne,Female,702214,2025-10-25,Interl,Rejected,36,10,Customer Support Mager,3,J. Watson,3.9,,
500117,Bella,Marecroft,Female,701050,2024-02-04,Agency,Phone Screen,40,11,General Counsel,8,K. Brown,,,
500118,Peter,Wardabrook,Male,701611,2024-09-14,Indeed,Interview,13,4,IT Support Specialist,1,T. Nguyen,2.7,,
500119,Sawyer,Crossonstead,Female,700922,2024-10-09,Campus,Fil Interview,10,3,Product Mager,3,J. Watson,3.6,,
500120,Lily,Raininberg,Female,700973,2025-01-27,Career Site,Applied,27,7,Marketing Director,5,A. Carter,,,
500121,Thomas,Ellinland,Non-Biry,701806,2025-02-17,Campus,Rejected,26,7,Digital Marketing Mager,3,S. Lee,4.1,,
500122,Delilah,Yorkunbrook,Female,701493,2025-01-30,Career Site,Hired,9,3,Product Alyst,2,M. Davis,2.3,Yes,63
500123,Drew,Roseenquist,Female,701856,2025-01-19,LinkedIn,Rejected,17,5,Senior Fincial Alyst,3,A. Carter,4.3,,
500124,Sawyer,Autumnolin,Male,701595,2025-04-29,Campus,Applied,32,9,Operations Alyst,2,K. Brown,,,
500125,Morgan,Cranenworth,Male,702739,2024-04-02,Interl,Interview,22,6,HR Business Partner,3,R. Thomas,2.9,,
500126,Lily,Beckerstone,Female,702169,2025-03-12,Networking Event,Rejected,18,5,Fince Mager,4,D. Patel,3.9,,
500127,Audrey,Presstone,Female,702381,2025-08-29,Referral,Fil Interview,29,8,Account Executive,2,D. Patel,2.9,,
500128,Lucas,Kendorman,Male,702103,2025-10-20,Referral,Fil Interview,33,9,Operations Mager,4,S. Lee,2,,
500129,Albert,Grantingford,Male,700928,2026-02-08,Agency,Fil Interview,40,11,General Counsel,8,R. Thomas,2.1,,
500130,Skyler,Perryelshire,Female,702434,2024-12-28,Campus,Rejected,4,2,Software Engineer I,1,J. Watson,3.6,,
500131,Caleb,Marowood,Male,701767,2026-01-12,Interl,Fil Interview,18,5,Fince Mager,4,M. Davis,4.5,,
500132,Anthony,Dunshire,Male,700276,2024-07-17,LinkedIn,Phone Screen,38,11,Legal Alyst,2,T. Nguyen,,,
500133,Jeremiah,Westunford,Non-Biry,701959,2025-04-10,Campus,Fil Interview,5,2,Software Engineer II,2,M. Davis,2.5,,
500134,Matthew,Brookhart,Male,702616,2024-11-17,LinkedIn,Interview,22,6,HR Business Partner,3,R. Thomas,4.9,,
500135,Richard,Bellanstead,Male,702139,2026-02-17,Campus,Rejected,9,3,Product Alyst,2,A. Carter,2.1,,
500136,Blair,Meadlinbrook,Female,701694,2025-02-12,LinkedIn,Interview,28,8,Sales Development Representative,1,S. Lee,2.4,,
500137,Madeline,Dunelcrest,Female,700568,2024-06-17,Career Site,Rejected,4,2,Software Engineer I,1,J. Watson,4.4,,
500138,Bella,Perrywellden,Female,702713,2025-07-08,Career Site,Withdrawn,23,6,HR Mager,4,J. Watson,,,
500139,Noah,Emunmere,Male,701193,2025-06-02,Referral,Hired,31,8,Director of Sales,6,M. Davis,4.4,Yes,81
500140,Clara,Eastsonwin,Female,702597,2024-04-30,Interl,Phone Screen,28,8,Sales Development Representative,1,S. Lee,,,
500141,Victor,Crossleywell,Male,702499,2025-05-19,Career Site,Offer Extended,27,7,Marketing Director,5,T. Nguyen,4.4,Pending,14
500142,Emily,Norarshire,Female,701333,2024-10-06,Agency,Phone Screen,34,9,Director of Operations,6,D. Patel,,,
500143,Joshua,Longarshire,Male,702565,2024-08-13,LinkedIn,Fil Interview,7,2,Engineering Mager,4,A. Carter,3.5,,
500144,Reese,Hollinwall,Male,701097,2024-07-31,Agency,Hired,25,7,Marketing Specialist,1,T. Nguyen,2.6,Yes,71
500145,Destiny,Norarshire,Female,701768,2025-04-01,Campus,Offer Extended,16,5,Fincial Alyst,2,K. Brown,4.1,Pending,38
500146,Alan,Darberg,Male,702524,2025-05-28,Agency,Rejected,29,8,Account Executive,2,R. Thomas,4.2,,
500147,Isaac,Delelstead,Male,701332,2025-12-11,Referral,Interview,18,5,Fince Mager,4,J. Watson,4.7,,
500148,Eden,Oakarberg,Male,701140,2025-12-31,Referral,Phone Screen,31,8,Director of Sales,6,A. Carter,,,
500149,Grant,Grantorden,Male,702227,2024-03-29,Interl,Phone Screen,16,5,Fincial Alyst,2,D. Patel,,,
500150,James,Sandishire,Male,701352,2024-12-25,Indeed,Rejected,13,4,IT Support Specialist,1,K. Brown,3.1,,
500151,Miles,Greenerway,Male,702343,2024-03-27,Indeed,Rejected,20,6,HR Coorditor,1,D. Patel,3.4,,
500152,Felix,Willsen,Male,700327,2025-09-14,Campus,Rejected,11,3,Senior Product Mager,4,R. Thomas,2,,
500153,Peyton,Hallwellward,Female,700084,2025-05-15,Networking Event,Rejected,1,1,Chief Executive Officer,10,S. Lee,4.4,,
500154,Charlotte,Ashwellmond,Female,702742,2025-11-17,Campus,Fil Interview,40,11,General Counsel,8,M. Davis,4.3,,
500155,Savanh,Caldolin,Female,702679,2024-07-03,Indeed,Withdrawn,26,7,Digital Marketing Mager,3,S. Lee,,,
500156,Grant,Delettman,Male,701300,2024-04-18,Campus,Withdrawn,38,11,Legal Alyst,2,M. Davis,,,
500157,Brooklyn,Glentonwell,Female,701104,2025-03-05,Career Site,Interview,36,10,Customer Support Mager,3,D. Patel,2.4,,
500158,Rose,Clarkellway,Female,702365,2025-03-03,LinkedIn,Interview,31,8,Director of Sales,6,R. Thomas,4.3,,
500159,Dylan,Lakeson,Male,702513,2024-07-17,Networking Event,Applied,26,7,Digital Marketing Mager,3,M. Davis,,,
500160,Nolan,Torrarstead,Male,700436,2025-05-14,LinkedIn,Applied,29,8,Account Executive,2,K. Brown,,,
500161,Andrea,Torrorwall,Female,700995,2024-12-22,Referral,Applied,36,10,Customer Support Mager,3,J. Watson,,,
500162,Preston,Longingshire,Male,702202,2024-03-06,Referral,Applied,17,5,Senior Fincial Alyst,3,S. Lee,,,
500163,Anthony,Riverunsen,Male,700618,2024-08-14,Career Site,Rejected,32,9,Operations Alyst,2,K. Brown,4.3,,
500164,Ruby,Parkunward,Female,701905,2024-01-29,Agency,Phone Screen,14,4,Systems Administrator,2,K. Brown,,,
500165,Casey,Eastlinmere,Female,702064,2025-03-02,Indeed,Applied,26,7,Digital Marketing Mager,3,D. Patel,,,
500166,Taylor,Chandthorne,Non-Biry,701455,2025-11-26,Campus,Rejected,5,2,Software Engineer II,2,R. Thomas,3.9,,
500167,Layla,Wolfcrest,Female,702258,2025-12-24,Referral,Rejected,23,6,HR Mager,4,M. Davis,3.1,,
500168,Caroline,Blandinghart,Female,701499,2025-11-25,Career Site,Applied,24,6,Director of HR,6,J. Watson,,,
500169,Preston,Blackelridge,Male,702034,2025-07-04,Referral,Offer Extended,21,6,HR Generalist,2,S. Lee,3.9,Pending,14
500170,David,Marinmere,Male,701473,2024-01-02,LinkedIn,Hired,21,6,HR Generalist,2,R. Thomas,4.6,Yes,60
500171,Alexander,Fordingmond,Male,701188,2025-08-05,LinkedIn,Phone Screen,36,10,Customer Support Mager,3,D. Patel,,,
500172,Owen,Perrywood,Male,700646,2025-05-12,LinkedIn,Offer Extended,34,9,Director of Operations,6,M. Davis,5,No,27
500173,Michael,Goldellham,Male,700285,2025-01-24,LinkedIn,Phone Screen,25,7,Marketing Specialist,1,M. Davis,,,
500174,Tyler,Caldworth,Male,701082,2025-11-23,Indeed,Interview,3,1,Vice President,8,J. Watson,2.8,,
500175,Kai,Crosslinmere,Female,702200,2025-05-16,LinkedIn,Interview,5,2,Software Engineer II,2,T. Nguyen,2.2,,
500176,Blair,Wrenowall,Female,702292,2025-08-01,LinkedIn,Phone Screen,8,2,Director of Engineering,6,D. Patel,,,
500177,Brian,Grayeman,Male,702282,2026-01-20,LinkedIn,Applied,20,6,HR Coorditor,1,S. Lee,,,
500178,Logan,Springward,Male,700649,2025-07-25,Career Site,Applied,24,6,Director of HR,6,M. Davis,,,
500179,Daniel,Fordway,Non-Biry,701550,2025-07-06,Career Site,Applied,36,10,Customer Support Mager,3,T. Nguyen,,,
500180,Aisha,Fordunridge,Female,701598,2024-04-27,Indeed,Phone Screen,26,7,Digital Marketing Mager,3,J. Watson,,,
500181,than,Oakingwin,Male,700907,2025-01-22,Campus,Offer Extended,22,6,HR Business Partner,3,R. Thomas,4.1,Pending,46
500182,Adam,Lakeellmore,Non-Biry,700489,2024-03-02,Referral,Interview,18,5,Fince Mager,4,A. Carter,4.4,,
500183,Avery,Hayecott,Female,701928,2025-06-22,Indeed,Interview,22,6,HR Business Partner,3,S. Lee,2.1,,
500184,Thomas,Stormerberg,Male,700381,2025-03-20,Career Site,Fil Interview,19,5,Director of Fince,6,M. Davis,3.7,,
500185,Micah,Silverellden,Male,702613,2024-03-26,Career Site,Applied,4,2,Software Engineer I,1,M. Davis,,,
500186,Sofia,Stormistead,Female,702172,2025-04-08,Referral,Rejected,14,4,Systems Administrator,2,J. Watson,4.1,,
500187,Eden,Kendetthorne,Female,701728,2025-02-24,Career Site,Withdrawn,24,6,Director of HR,6,M. Davis,,,
500188,Morgan,Bramoncrest,Female,700474,2024-07-14,Referral,Hired,27,7,Marketing Director,5,S. Lee,4.7,Yes,86
500189,Angela,Grayarbrook,Female,702404,2025-05-22,LinkedIn,Offer Extended,40,11,General Counsel,8,R. Thomas,3.5,Pending,61
500190,Aiden,Rockorlin,Male,702756,2024-03-06,LinkedIn,Rejected,36,10,Customer Support Mager,3,D. Patel,2.5,,
500191,Andrew,Ashorquist,Male,700610,2025-05-24,Career Site,Applied,19,5,Director of Fince,6,M. Davis,,,
500192,Alicia,Brookiwell,Female,702472,2025-12-06,LinkedIn,Fil Interview,4,2,Software Engineer I,1,J. Watson,4.7,,
500193,Ethan,Barellward,Male,700893,2024-06-23,Career Site,Offer Extended,2,1,Chief Operating Officer,9,J. Watson,2.7,No,61
500194,Victor,Wardarham,Male,701084,2024-01-10,Networking Event,Fil Interview,25,7,Marketing Specialist,1,T. Nguyen,2.3,,
500195,Parker,Hollwell,Female,701584,2025-03-06,Networking Event,Withdrawn,8,2,Director of Engineering,6,D. Patel,,,
500196,Caroline,Pineasen,Female,702386,2025-02-20,LinkedIn,Hired,38,11,Legal Alyst,2,A. Carter,3.6,Yes,89
500197,Stella,Foxinman,Female,700448,2025-09-27,Networking Event,Rejected,4,2,Software Engineer I,1,R. Thomas,3.5,,
500198,Samuel,Eastwellmont,Male,701253,2025-06-18,Indeed,Withdrawn,25,7,Marketing Specialist,1,M. Davis,,,
500199,Luke,Marsonbrook,Male,700111,2025-01-09,Referral,Interview,1,1,Chief Executive Officer,10,R. Thomas,3.3,,
500200,Elijah,Cranelthorne,Male,702639,2025-07-04,LinkedIn,Hired,8,2,Director of Engineering,6,S. Lee,2.9,Yes,85
500201,Evan,Radanridge,Male,701590,2024-08-11,Career Site,Hired,20,6,HR Coorditor,1,M. Davis,2.5,Yes,25
500202,Alicia,Whitleyman,Female,702133,2025-01-12,Indeed,Rejected,1,1,Chief Executive Officer,10,R. Thomas,2.2,,
500203,Paige,Finonmere,Female,700362,2024-10-18,Referral,Hired,5,2,Software Engineer II,2,R. Thomas,2.9,Yes,41
500204,Theodore,Clarkoncroft,Male,700560,2025-03-02,Career Site,Rejected,1,1,Chief Executive Officer,10,M. Davis,4.9,,
500205,Evan,Presiworth,Male,700530,2024-09-24,Referral,Offer Extended,18,5,Fince Mager,4,J. Watson,2.2,Pending,61
500206,Casey,Calduford,Male,702074,2025-11-30,Indeed,Phone Screen,4,2,Software Engineer I,1,A. Carter,,,
500207,River,Rainonwin,Female,700185,2025-12-14,Indeed,Phone Screen,40,11,General Counsel,8,A. Carter,,,
500208,Jamie,Reediwood,Male,702506,2025-02-08,LinkedIn,Hired,21,6,HR Generalist,2,K. Brown,3.1,Yes,63
500209,Savanh,Springanmore,Female,702327,2024-11-25,LinkedIn,Phone Screen,10,3,Product Mager,3,M. Davis,,,
500210,Charles,Goldermere,Male,701148,2025-05-07,Career Site,Phone Screen,34,9,Director of Operations,6,S. Lee,,,
500211,Drew,Halltonley,Male,702192,2024-04-15,LinkedIn,Interview,23,6,HR Mager,4,M. Davis,4.9,,
500212,Skyler,Elluman,Female,702328,2025-04-06,Interl,Phone Screen,31,8,Director of Sales,6,A. Carter,,,
500213,Sofia,Brookelworth,Female,702127,2024-12-26,Indeed,Applied,10,3,Product Mager,3,M. Davis,,,
500214,Oliver,Beckiwall,Male,701195,2025-07-24,LinkedIn,Fil Interview,30,8,Sales Mager,4,S. Lee,4.3,,
500215,Kennedy,Foxaway,Female,702535,2024-05-13,LinkedIn,Hired,33,9,Operations Mager,4,K. Brown,3.1,Yes,51
500216,Angela,Chandiway,Female,701349,2024-11-05,Career Site,Phone Screen,8,2,Director of Engineering,6,T. Nguyen,,,
500217,Eli,Norsonton,Male,700308,2024-05-28,Referral,Hired,38,11,Legal Alyst,2,D. Patel,3.4,Yes,87
